index;Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes  CCS e SCR;Quantidade de clientes  CCS;Quantidade de clientes  SCR;Unnamed: 14
60;2021;1º;Grupo Secundário;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;17;22;7;46;65443;4487;61782;
61;2021;1º;Grupo Secundário;Conglomerado; ;INDUSVAL (conglomerado); ;1;0;3;4;5298;4796;785;
62;2021;1º;Top 10;Conglomerado; ;INTER (conglomerado);129,26;1245;582;362;2189;9631304;9500388;1557039;
63;2021;1º;Top 10;Conglomerado; ;ITAU (conglomerado);19,72;1636;3086;2156;6878;82955510;63980098;49391035;
64;2021;1º;Grupo Secundário;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;3;7;49879; ;49879;
65;2021;1º;Grupo Secundário;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;0;1;0;1;3931;3914;129;
66;2021;1º;Grupo Secundário;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;4;4; ;
67;2021;1º;Grupo Secundário;Conglomerado; ;LECCA (conglomerado); ;3;3;1;7;26060;418;25643;
68;2021;1º;Grupo Secundário;Conglomerado; ;MÁXIMA (conglomerado);568,89;57;44;18;119;100194;4444;95896;
69;2021;1º;Grupo Secundário;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);65,23;227;104;38;369;3479596;2945439;1733419;
70;2021;1º;Grupo Secundário;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;1;0;4;5;20651;252;20473;
71;2021;1º;Top 10;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2,77;30;91;50;171;10797493;208;10797426;
72;2021;1º;Grupo Secundário;Conglomerado; ;MODAL (conglomerado); ;25;53;34;112;1064679;1064679; ;
73;2021;1º;Grupo Secundário;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;11;22;0;33;91784;3074;89140;
74;2021;1º;Top 10;Conglomerado; ;NUBANK (conglomerado); 0 ;0;8;11;19;13774766;12716441;1936741;
75;2021;1º;Grupo Secundário;Conglomerado; ;OMNI (conglomerado);6,81;32;51;53;136;4695792;9119;4690354;
76;2021;1º;Grupo Secundário;Conglomerado; ;ORIGINAL (conglomerado);79,22;316;289;239;844;3988641;3643140;820078;
77;2021;1º;Grupo Secundário;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado); ;0;6;0;6;2476342;2471600;5042;
78;2021;1º;Top 10;Conglomerado; ;PAN (conglomerado);245,28;2185;1182;586;3953;8907890;3543823;6252547;
79;2021;1º;Grupo Secundário;Conglomerado; ;PARANÁ BANCO (conglomerado);228,46;111;252;19;382;485854;9678;476431;
80;2021;1º;Grupo Secundário;Banco/financeira;03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;6;3;0;9;3843;0;3843;
81;2021;1º;Grupo Secundário;Banco/financeira;43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12,90;81;36;16;133;6279057;5846351;2878477;
82;2021;1º;Grupo Secundário;Conglomerado; ;PINE (conglomerado); ;0;0;1;1;12831;10476;2993;
83;2021;1º;Grupo Secundário;Conglomerado; ;PORTO SEGURO (conglomerado);29,12;80;114;64;258;2747125; ;2747125;
84;2021;1º;Grupo Secundário;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;29;43;15;87;228987;3382;225607;
85;2021;1º;Grupo Secundário;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;6;31;22;59;4979229;45;4979205;
86;2021;1º;Grupo Secundário;Conglomerado; ;RENDIMENTO (conglomerado); ;4;2;0;6;24379;20273;6735;
87;2021;1º;Grupo Secundário;Conglomerado; ;RODOBENS (conglomerado); ;2;2;1;5;13539;1620;12328;
88;2021;1º;Grupo Secundário;Conglomerado; ;SAFRA (conglomerado);281,53;896;793;399;2088;3182584;1451405;1959556;
89;2021;1º;Grupo Secundário;Banco/financeira;05503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;29195;1250;27947;
90;2021;1º;Top 10;Conglomerado; ;SANTANDER (conglomerado);31,38;1611;3279;1706;6596;51331984;42880457;25493933;
91;2021;1º;Grupo Secundário;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;2;0;3;14370;634;13736;
92;2021;1º;Grupo Secundário;Banco/financeira;07747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;4;2;8;853173; ;853173;
93;2021;1º;Grupo Secundário;Conglomerado; ;SICREDI (conglomerado); ;0;0;1;1;5562671;5541402;177298;
94;2021;1º;Grupo Secundário;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;5;6;3398;1813;1585;
95;2021;1º;Grupo Secundário;Conglomerado; ;SOFISA (conglomerado); ;25;17;26;68;314921;306391;14980;
96;2021;1º;Grupo Secundário;Conglomerado; ;SOROCRED (conglomerado); ;12;21;21;54;720886;1196;719752;
97;2021;1º;Grupo Secundário;Conglomerado; ;UBS (conglomerado); ;0;3;1;4;0;0; ;
98;2021;1º;Grupo Secundário;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;2;2;4;412934;1008;411929;
99;2021;1º;Grupo Secundário;Conglomerado; ;VOLKSWAGEN (conglomerado); ;24;14;35;73;377032;1196;376129;
100;2021;1º;Grupo Secundário;Conglomerado; ;VOLVO (conglomerado); ;0;0;1;1;7736;88;7727;
101;2021;1º;Top 10;Conglomerado; ;VOTORANTIM (conglomerado);4,57;69;428;206;703;15074861;11512143;4668540;
102;2021;1º;Grupo Secundário;Conglomerado; ;WESTERN UNION (conglomerado); ;3;0;0;3;1;1; ;
103;2021;1º;Grupo Secundário;Banco/financeira;23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;16;15;17;48;1548186;1546806;314656;
104;2021;1º;Grupo Secundário;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;6;4;7;17;197837;61;197782;
0;2021;2º;Demais bancos e financeiras;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;2;0;2;28022;26485;3921;
